未だしも,まだしも,"rather, better"
一途,いちず,"wholehearted, earnest, determined, intent, single-minded, straightforward, devoted to, doing nothing but"
嘘,うそ,"lie, fib, falsehood, untruth; mistake, error; unwise move, bad decision; no way!, unbelievable!, really?!"
師匠,ししょう,"master, teacher; coach who owns his stable"
視界,しかい,"field of vision, visibility, view, visual field, (one's) ken"
気の毒,きのどく,"pitiful, unfortunate, poor, miserable, wretched; unpardonable, regrettable"
険しい,けわしい,"precipitous, rugged, inaccessible, impregnable, steep; grim, severe, stern"
奨励,しょうれい,"encouragement, promotion, inducement, incitement, stimulation"
至らない,いたらない,"imperfect, incompetent, inadequate, careless"
居たたまれない,いたたまれない,"unable to stay (on), unable to endure being somewhere a second longer, feel like running away"
のめり込む,のめりこむ,"to be completely absorbed in, to fall for (something)"
到達,とうたつ,"reaching, attaining, arrival"
,どうやら,"it seems like, it appears that; somehow or other"
掘り込む,ほりこむ,"to carve into, to cut into, to dig into"
込,-こ.む,"crowded, mixture, in bulk, included, (kokuji)"
ど真ん中,どまんなか,right in the center (centre)
真,シン,"true, reality, Buddhist sect"
飛び込む,とびこむ,"to jump in, to leap in, to plunge into, to dive; to burst in, to barge in"
呆然,ぼうぜん,"dumbfounded, overcome with surprise, in blank amazement, in a daze"
,ポツリ,"isolated, standing alone; falling in drops (e.g. rain); saying a single word, muttering just a few words"
オブラートに包む,オブラートにつつむ,"to say in a round-about way (not to upset), to cushion the blow, to wrap in wafer paper"
黒星,くろぼし,"black spot, black dot, bull's-eye; failure mark"
,ドッキリ,"feeling startled, getting a shock; prank, practical joke"
馴染む,なじむ,"to become familiar with, to fit in, to adapt oneself, to get used to, to grow accustomed to"
活発,かっぱつ,"lively, active, vigorous, animated, brisk"
関わる,かかわる,"to be affected, to be influenced; to be concerned with, to have to do with; to stick to (opinions)"
